Đây là phiên bản Final của BẢNG 2 – DATA MENU CHI TIẾT, bao gồm toàn bộ 4 danh mục. Bảng này được xây dựng dựa trên schema và bộ thuật ngữ đã được chuẩn hoá cuối cùng, đảm bảo tính nhất quán và sẵn sàng cho đội ngũ kỹ thuật triển khai mà không cần giải thích lại.																														
BẢNG 2 – DATA MENU CHI TIẾT (CHO DEV) - PHIÊN BẢN FINAL																														
code	name	group	category	strategic_role	short_description	key_selling_points	food_tags	taste_profile	aroma	texture	temperature	portion_size	post_meal_experience	suitable_for	spice_level	price	prep_time_min	prep_time_max	ingredients	allergen_profile	origin	supplier_details	preparation_process	health_benefits	options	nutrition_info	customer_moods_match	behavioral_style_match	appearance_style_match	communication_tone_match
PRE-LU-CKH	Cơm Cá Kho Tộ	Khẩu phần ăn đăng ký trước	Bữa trưa	Sản phẩm Phổ thông (Mainstream/Volume Driver)	Cơm, cá kho tộ đậm vị, rau luộc và canh theo ngày.	- Vị cá kho truyền thống<br>- Đậm đà, ăn cùng cơm trắng	com_van_phong, com_nha, ca_kho, am_bung	Mặn, ngọt, cay nhẹ.	Thơm mùi cá kho, tiêu.	Cá mềm, cơm dẻo	Nóng	No lâu	No bụng, cảm giác ấm cúng, hài lòng.	Nhân sự đăng ký bữa sáng theo tuần hoặc tối thiểu 24h	1	40000	-	-	Gạo, cá (lóc/nục), thịt ba rọi, gia vị	Cá, Đậu nành	Nguyên liệu tươi mới được chọn mua mỗi sáng.	[{"ingredient": "Gạo, cá (lóc/nục), thịt ba rọi, rau củ", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Nguyên liệu tươi mới mua mỗi ngày, có hóa đơn đối chiếu.", "reference_links": []}]	Cá kho trong nồi đất với lửa nhỏ để thấm đều gia vị.	Bữa ăn giàu Omega-3 từ cá	[{"group_name": "Tùy chọn", "type": "single", "choices": [{"name": "Không cay", "price_delta": 0}]}]	{"calories_kcal": "~550-650", "sugar_g": "~10"}	doi_bung, nho_nha, lanh	routine_oriented ("Thiên về thói quen"), calm_reflective ("Điềm tĩnh, cân nhắc")	simple ("Đơn giản"), office_formal ("Công sở, trang trọng")	soft_slow ("Nhẹ nhàng, Chậm rãi")
TEA-BTR	Bạch Trà Shan Tuyết Cổ Thụ	Trà Pha Ấm	Trà Vị Thanh	Sản phẩm Đặc trưng (Signature)	Trà từ búp tuyết trắng của cây trà Shan Tuyết cổ thụ, được sấy lạnh để giữ trọn vị tinh khôi.	- Vị thanh, hương thơm dịu<br>- Nguyên liệu từ búp tuyết trắng quý hiếm	tra_thuong_hang, tra_shan_tuyet, tra_vi_thanh, tiep_khach, tra_trang	Vị thanh khiết, ngọt nhẹ tự nhiên, gần như không có vị chát.	Hương thơm dịu nhẹ, tinh khôi của búp trà non.	Lỏng	Nóng	Ấm (không giới hạn nước châm)	Thư giãn tinh thần, thanh lọc vị giác, cảm giác nhẹ nhàng.	Họp nhóm quan trọng, tiếp khách, người sành trà, cần thư giãn	0	250000	15	25	Búp trà Shan Tuyết	Không có	Cây trà Shan Tuyết cổ thụ, Hà Giang.	[{"ingredient": "Trà Shan Tuyết", "supplier_name": "Trà Cổ Thái An", "type": "Thương hiệu trà truyền thống", "verification_notes": "Trà cổ thụ từ Hà Giang, quy trình sản xuất minh bạch.", "reference_links": ["https://www.facebook.com/tracothaian"]}]	Pha bằng ấm tử sa với nhiệt độ nước (khoảng 80-85°C) và thời gian hãm chuẩn.	Hỗ trợ thư giãn tinh thần	null	{"calories_kcal": "~0-5", "sugar_g": "~0"}	can_thu_gian, hop_quan_trong, stress	calm_reflective ("Điềm tĩnh, cân nhắc"), detail_oriented ("Chú trọng chi tiết")	elegant ("Thanh lịch"), office_formal ("Công sở, trang trọng")	soft_slow ("Nhẹ nhàng, Chậm rãi"), inquisitive ("Tò mò, Hay hỏi")
TEA-DBT	Đại Bạch Trà Rừng	Trà Pha Ấm	Trà Vị Thanh	Sản phẩm Đặc trưng (Signature)	Trà làm từ những chồi non trên nhánh cây trà rừng hoang dã, mang vị ngọt thanh nguyên bản.	- Vị thanh ngọt nhẹ<br>- Hoàn toàn không chát	tra_vi_thanh, tra_rung, de_uong, khong_chat	Vị thanh ngọt nhẹ nhàng, mượt mà, dễ uống cho cả người mới bắt đầu.	Hương thơm thảo mộc tự nhiên của núi rừng.	Lỏng	Nóng	Ấm (không giới hạn nước châm)	Dễ chịu, thư thái, không gây mất ngủ.	Người mới bắt đầu uống trà, tiếp khách cần sự nhẹ nhàng, họp buổi chiều	0	250000	15	25	Chồi cây trà rừng	Không có	Vùng trà rừng hoang dã Tây Bắc.	[{"ingredient": "Trà rừng", "supplier_name": "Trà Cổ Thái An", "type": "Thương hiệu trà truyền thống", "verification_notes": "Trà được tuyển chọn từ vùng trà rừng hoang dã.", "reference_links": ["https://www.facebook.com/tracothaian"]}]	Pha bằng ấm sứ hoặc thủy tinh để giữ trọn vẹn hương vị thanh khiết.	Hỗ trợ thư giãn	null	{"calories_kcal": "~0-5", "sugar_g": "~0"}	can_thu_gian, hop_chieu	calm_reflective ("Điềm tĩnh, cân nhắc"), explorer ("Người khám phá")	business_casual ("Công sở, thoải mái"), simple ("Đơn giản")	soft_slow ("Nhẹ nhàng, Chậm rãi")
TEA-DRG	Trà Đuôi Rồng Sấy Lạnh	Trà Pha Ấm	Trà Vị Thanh	Sản phẩm Đặc trưng (Signature)	Trà sấy lạnh độc đáo, nổi bật với hương thơm hoa hồng tự nhiên quyến rũ.	- Vị thanh ngọt nhẹ<br>- Hương thơm mùi hoa hồng độc đáo	tra_doc_dao, huong_hoa_hong, tra_vi_thanh, mon_la	Vị thanh, ngọt nhẹ, phảng phất vị trái cây.	Hương thơm hoa hồng tự nhiên, rất đặc trưng và lôi cuốn.	Lỏng	Nóng	Ấm (không giới hạn nước châm)	Cảm giác mới mẻ, thư thái, gây ấn tượng sâu sắc.	Tiếp khách nữ, người thích khám phá, các buổi tiệc trà, cần tạo sự khác biệt	0	300000	15	25	Trà Đuôi Rồng	Không có	Trà có nguồn gốc từ vùng cao.	[{"ingredient": "Trà Đuôi Rồng", "supplier_name": "Trà Cổ Thái An", "type": "Thương hiệu trà truyền thống", "verification_notes": "Trà được chế biến theo phương pháp đặc biệt.", "reference_links": ["https://www.facebook.com/tracothaian"]}]	Pha bằng dụng cụ thủy tinh để quan sát cánh trà nở và thưởng thức hương thơm.	Tạo trải nghiệm độc đáo, khơi gợi sự sáng tạo	null	{"calories_kcal": "~0-5", "sugar_g": "~0"}	can_gay_an_tuong, vui_ve, sang_tao	explorer ("Người khám phá"), detail_oriented ("Chú trọng chi tiết")	elegant ("Thanh lịch"), creative_expressive ("Sáng tạo, cá tính")	soft_slow ("Nhẹ nhàng, Chậm rãi"), energetic ("Năng lượng")
TEA-BHA	Trà Bạch Hạc	Trà Pha Ấm	Trà Vị Thanh	Sản phẩm Đặc trưng (Signature)	Trà có vị ngọt thanh không chát, đặc trưng bởi hương thơm của các loại hoa quả chín mọng.	- Vị ngọt thanh, không chát<br>- Hương thơm hoa quả chín	tra_vi_thanh, huong_trai_cay, de_uong	Vị ngọt thanh rõ rệt, mượt mà trong khoang miệng.	Hương thơm phức hợp của các loại hoa quả chín như đào, mận.	Lỏng	Nóng	Ấm (không giới hạn nước châm)	Cảm giác tươi mới, ngọt ngào, vui vẻ.	Các buổi họp cần không khí cởi mở, tiếp khách trẻ, người ưa vị ngọt	0	250000	15	25	Trà Bạch Hạc	Không có	Trà được chế biến theo phương pháp đặc biệt để lên hương trái cây.	[{"ingredient": "Trà Bạch Hạc", "supplier_name": "Trà Cổ Thái An", "type": "Thương hiệu trà truyền thống", "verification_notes": "Trà được chế biến để lên hương hoa quả tự nhiên.", "reference_links": ["https://www.facebook.com/tracothaian"]}]	Pha bằng ấm sứ để làm nổi bật hương thơm hoa quả.	Hỗ trợ cải thiện tâm trạng	null	{"calories_kcal": "~0-5", "sugar_g": "~0"}	vui_ve, can_khong_khi_coi_mo	explorer ("Người khám phá"), energetic ("Năng lượng")	business_casual ("Công sở, thoải mái"), creative_expressive ("Sáng tạo, cá tính")	soft_slow ("Nhẹ nhàng, Chậm rãi"), energetic ("Năng lượng")
TEA-NHT	Nụ Hoa Trà Cổ Thụ	Trà Pha Ấm	Trà Vị Thanh	Sản phẩm Đặc trưng (Signature)	100% nụ hoa từ cây trà Shan Tuyết cổ thụ Hà Giang, sấy lạnh, cho vị trà ngọt dịu và bền nước.	- Vị ngọt dịu, hương tự nhiên<br>- Bền nước (pha được nhiều lần)<br>- Không chứa caffeine	tra_hoa, khong_caffeine, tra_ngu_ngon, ben_nuoc	Vị ngọt dịu, thanh mát nơi đầu lưỡi.	Hương thơm hoa trà tự nhiên, rất nhẹ nhàng.	Lỏng	Nóng	Ấm (không giới hạn nước châm)	Thư giãn sâu, dễ ngủ, cảm giác thanh tịnh.	Người nhạy cảm với caffeine, uống trà buổi tối, cần sự tĩnh tâm	0	300000	15	25	Nụ hoa trà Shan Tuyết	Không có	Cây trà Shan Tuyết cổ thụ, Hà Giang.	[{"ingredient": "Nụ hoa trà Shan Tuyết", "supplier_name": "Trà Cổ Thái An", "type": "Thương hiệu trà truyền thống", "verification_notes": "Nụ hoa trà cổ thụ từ Hà Giang, sấy lạnh.", "reference_links": ["https://www.facebook.com/tracothaian"]}]	Hãm trong bình thủy tinh với nước không quá nóng để giữ hương hoa.	Hỗ trợ thư giãn sâu, không gây mất ngủ	null	{"calories_kcal": "~0-5", "sugar_g": "~0"}	can_thu_gian, stress, uong_tra_toi	calm_reflective ("Điềm tĩnh, cân nhắc"), health_conscious ("Quan tâm sức khoẻ")	simple ("Đơn giản"), elegant ("Thanh lịch")	soft_slow ("Nhẹ nhàng, Chậm rãi")
TEA-DHB	Đại Hồng Bào	Trà Pha Ấm	Trà Nước Đỏ	Sản phẩm Đặc trưng (Signature)	Nước trà màu đỏ cam óng mật, vị êm mượt, hương trái cây chín và hậu ngọt lưu luyến.	- Hậu vị ngọt sâu, kéo dài<br>- Hương thơm phức hợp<br>- Vị trà cân bằng, êm ái	tra_cao_cap, tra_nuoc_do, hau_vi_ngot, tiep_khach_vip	Vị êm, mượt mà, đậm hơn dòng vị thanh, phảng phất hương trái cây chín, hậu vị ngọt sâu.	Hương thơm của trái cây chín, mùi mật ong và một chút hương khói nhẹ.	Lỏng	Nóng	Ấm (không giới hạn nước châm)	Cảm giác lâng lâng, vị giác được nuông chiều, đáng nhớ.	Tiếp khách VIP, đối tác quan trọng, người am hiểu trà	0	350000	15	25	Trà Đại Hồng Bào	Không có	Trà Oolong đá nổi tiếng từ Vũ Di Sơn, Phúc Kiến.	[{"ingredient": "Trà Đại Hồng Bào", "supplier_name": "Trà Cổ Thái An", "type": "Thương hiệu trà truyền thống", "verification_notes": "Trà Oolong đá nổi tiếng, được tuyển chọn kỹ lưỡng.", "reference_links": ["https://www.facebook.com/tracothaian"]}]	Pha theo nghi thức Gongfu Cha để phát huy tối đa các tầng hương vị.	Nâng tầm cuộc đối thoại, thể hiện sự trân trọng	null	{"calories_kcal": "~0-5", "sugar_g": "~0"}	hop_quan_trong, can_gay_an_tuong	detail_oriented ("Chú trọng chi tiết"), calm_reflective ("Điềm tĩnh, cân nhắc")	elegant ("Thanh lịch"), office_formal ("Công sở, trang trọng")	inquisitive ("Tò mò, Hay hỏi"), soft_slow ("Nhẹ nhàng, Chậm rãi")
TEA-HTR	Hồng Trà	Trà Pha Ấm	Trà Nước Đỏ	Sản phẩm Đặc trưng (Signature)	Trà có nước màu đỏ ruby, vị đậm hơn dòng vị thanh, hương thơm tựa mùi mật, dễ uống.	- Vị đậm vừa, dễ uống<br>- Hương thơm tựa mùi mật	tra_nuoc_do, de_uong, tot_cho_tinh_than	Vị đậm vừa, ngọt nhẹ, có thể cảm nhận vị chát rất nhẹ nhưng mượt.	Hương thơm ngọt ngào như mật ong, mạch nha.	Lỏng	Nóng	Ấm (không giới hạn nước châm)	Tỉnh táo nhẹ nhàng, ấm áp, dễ chịu.	Tiếp khách nữ, người cần sự tỉnh táo nhẹ nhàng, các buổi họp thân mật	0	250000	15	25	Hồng Trà	Không có	Trà được oxy hóa hoàn toàn từ các giống trà phù hợp.	[{"ingredient": "Hồng Trà", "supplier_name": "Trà Cổ Thái An", "type": "Thương hiệu trà truyền thống", "verification_notes": "Trà được oxy hóa hoàn toàn, đảm bảo chất lượng.", "reference_links": ["https://www.facebook.com/tracothaian"]}]	Pha bằng ấm sứ hoặc gốm để giữ nhiệt và làm nổi bật vị ngọt.	Hỗ trợ tinh thần tỉnh táo, thư giãn	null	{"calories_kcal": "~0-5", "sugar_g": "~0"}	met_moi_nhe, can_su_am_ap	routine_oriented ("Thiên về thói quen"), calm_reflective ("Điềm tĩnh, cân nhắc")	business_casual ("Công sở, thoải mái"), elegant ("Thanh lịch")	soft_slow ("Nhẹ nhàng, Chậm rãi")
TEA-STY	Trà Shan Tuyết (Vị Đậm)	Trà Pha Ấm	Trà Vị Đậm	Sản phẩm Đặc trưng (Signature)	Trà từ lá của cây trà Shan Tuyết cổ thụ, chế biến để cho ra vị trà đậm đà, chát dịu và hậu ngọt sâu.	- Vị trà đậm, mạnh mẽ<br>- Chát dịu, hậu ngọt sâu	tra_vi_dam, tra_shan_tuyet, tinh_tao_manh, sanh_tra	Vị chát dịu nơi đầu lưỡi, sau đó chuyển thành vị ngọt sâu lắng trong cổ họng.	Hương thơm mạnh mẽ, mang hơi thở của núi rừng.	Lỏng	Nóng	Ấm (không giới hạn nước châm)	Tỉnh táo cao độ, sảng khoái, cảm nhận rõ vị trà.	Người sành trà, cuộc họp dài cần sự tỉnh táo cao, sau bữa ăn nhiều dầu mỡ	0	300000	15	25	Lá trà Shan Tuyết	Không có	Cây trà Shan Tuyết cổ thụ, Hà Giang.	[{"ingredient": "Trà Shan Tuyết", "supplier_name": "Trà Cổ Thái An", "type": "Thương hiệu trà truyền thống", "verification_notes": "Lá trà từ cây cổ thụ Hà Giang, chế biến cho ra vị đậm.", "reference_links": ["https://www.facebook.com/tracothaian"]}]	Pha bằng ấm đất nung để làm dịu vị chát và tăng độ ngọt của trà.	Hỗ trợ tỉnh táo cao độ, hỗ trợ tiêu hóa	null	{"calories_kcal": "~0-5", "sugar_g": "~0"}	buon_ngu, can_tap_trung_cao_do	detail_oriented ("Chú trọng chi tiết"), routine_oriented ("Thiên về thói quen")	office_formal ("Công sở, trang trọng"), elegant ("Thanh lịch")	short_direct ("Ngắn gọn, Trực tiếp"), inquisitive ("Tò mò, Hay hỏi")
SET-BNH	Tùy chọn Bánh & Trái Cây	Set trà bánh (Đặt trước)	Add-on	Sản phẩm Bán thêm (Upsell Item)	Các loại bánh ngọt từ thương hiệu lựa chọn và trái cây tươi cao cấp theo mùa (Cherry, Nho).	- Tùy chọn thương hiệu: Givral, BreadTalk...<br>- Trái cây tươi cao cấp	an_kem_tra, banh_ngot, trai_cay, tiep_khach	Ngọt (bánh), chua ngọt (trái cây).	Thơm mùi bánh nướng, bơ và hương thơm của trái cây tươi.	Đa dạng	Nhiệt độ phòng	Nhẹ	Hoàn thiện trải nghiệm tiệc trà, cân bằng vị giác.	Đi kèm tất cả các set trà, phục vụ nhóm, các cuộc họp kéo dài,  tuỳ mức độ cầu kỳ và số lượng đặt trước 2h-4h	0	[Theo báo giá]	120	240	Bánh ngọt (Givral, BreadTalk...), Trái cây (Cherry, Nho)	Gluten, Sữa, Trứng (tùy loại bánh)	Các thương hiệu bánh uy tín, trái cây nhập khẩu.	[{"ingredient": "Bánh ngọt", "supplier_name": "Givral, BreadTalk", "type": "Thương hiệu bánh ngọt", "verification_notes": "Sản phẩm từ các thương hiệu uy tín, đảm bảo chất lượng.", "reference_links": []}, {"ingredient": "Trái cây tươi (Cherry, Nho)", "supplier_name": "Bách Hóa Xanh / WinMart / Nhà cung cấp trái cây nhập khẩu", "type": "Chuỗi siêu thị / Nhà nhập khẩu", "verification_notes": "Trái cây tươi, cao cấp theo mùa, có hóa đơn đối chiếu.", "reference_links": []}]	Được sắp xếp và bày trí đẹp mắt trên đĩa phục vụ.	Tăng sự hài lòng và hoàn thiện trải nghiệm	[{"group_name": "Chọn bánh", "type": "multiple", "choices": [{"name": "Bánh Givral", "price_delta": 0}, {"name": "Bánh BreadTalk", "price_delta": 0}]}]	{"calories_kcal": "Phụ thuộc vào lựa chọn", "sugar_g": "Phụ thuộc vào lựa chọn"}	hop_dai, can_them_nang_luong	explorer ("Người khám phá"), detail_oriented ("Chú trọng chi tiết")	elegant ("Thanh lịch"), business_casual ("Công sở, thoải mái")	soft_slow ("Nhẹ nhàng, Chậm rãi")
